latitude,longitude,altitude
36.08293,140.07637,0
36.08293,140.07635,0
36.08294,140.07633,0
36.08294,140.07632,0
36.08294,140.0763,0
36.08295,140.0763,0
36.08296,140.0763,0
36.08298,140.0763,0
36.08299,140.0763,0
36.08301,140.07631,0
36.08302,140.07631,0
36.08304,140.07631,0
36.08305,140.07631,0
36.08307,140.07631,0
36.08308,140.07631,0
36.0831,140.07632,0
36.08311,140.07631,0
36.08311,140.0763,0
36.08311,140.07628,0
36.08311,140.07626,0
36.08312,140.07624,0
36.08312,140.07623,0
36.08312,140.07621,0
36.08312,140.07619,0
36.08312,140.07617,0
36.08312,140.07616,0
36.08312,140.07614,0
36.08313,140.07613,0
36.08314,140.07612,0
36.08315,140.07611,0
36.08316,140.07609,0
36.08316,140.07608,0
36.08316,140.07606,0
36.08316,140.07605,0
36.08316,140.07604,0
36.08315,140.07604,0
36.08313,140.07604,0
36.08312,140.07603,0
36.0831,140.07603,0
36.08309,140.07603,0
36.08307,140.07603,0
36.08306,140.07603,0
36.08305,140.07603,0
36.08303,140.07603,0
36.08302,140.07602,0
36.083,140.07602,0
36.08299,140.07602,0
36.08297,140.07602,0
36.08296,140.07602,0
36.08296,140.07603,0
36.08296,140.07605,0
36.08296,140.07606,0
36.08296,140.07608,0
36.08295,140.0761,0
36.08295,140.07612,0
36.08295,140.07614,0
36.08295,140.07616,0
36.08295,140.07618,0
36.08295,140.07619,0
36.08295,140.07621,0
36.08294,140.07623,0
36.08294,140.07625,0
36.08294,140.07627,0
36.08294,140.07628,0
36.08294,140.0763,0
36.08295,140.0763,0
36.08296,140.0763,0
36.08298,140.0763,0
36.083,140.07631,0
36.08301,140.07631,0
36.08302,140.07631,0
36.08304,140.07631,0
36.08305,140.07631,0
36.08306,140.07631,0
36.08306,140.07632,0
36.08306,140.07634,0
36.08306,140.07636,0
36.08305,140.07637,0
36.08305,140.07639,0
36.08305,140.07641,0
36.08305,140.07643,0
36.08305,140.07645,0
36.08305,140.07647,0
36.08305,140.07649,0
36.08305,140.07651,0
36.08305,140.07652,0
36.08305,140.07654,0
36.08305,140.07656,0
36.08305,140.07658,0
36.08305,140.0766,0
36.08305,140.07661,0
36.08305,140.07663,0
36.08305,140.07663,0
36.08307,140.07664,0
36.08308,140.07664,0
36.08309,140.07664,0
36.0831,140.07666,0
36.0831,140.07667,0
36.0831,140.07669,0
36.0831,140.0767,0
36.0831,140.07672,0
36.0831,140.07674,0
36.0831,140.07676,0
36.0831,140.07678,0
36.0831,140.0768,0
36.08309,140.07682,0
36.08309,140.07683,0
36.08309,140.07685,0
36.08309,140.07687,0
36.08309,140.07689,0
36.08309,140.0769,0
36.08309,140.07692,0
36.08308,140.07694,0
36.08309,140.07696,0
36.0831,140.07696,0
36.08311,140.07696,0
36.08313,140.07696,0
36.08314,140.07696,0
36.08315,140.07697,0
36.08315,140.07698,0
36.08315,140.077,0
36.08315,140.07701,0
36.08315,140.07703,0
36.08315,140.07705,0
36.08315,140.07707,0
